id,name
1395,순환소수
1397,순환소수의 표현
1422,쌓기나무로 쌓은 모양과 위에서 본 모양을 보고 쌓은 모양과 쌓기나무의 개수 구하기
1439,"쌓기나무를 쌓아 만든 모양을 보고 위, 앞, 옆에서 본 모양 그리기"
1440,위에서 본 모양에 수를 쓰는 방법으로 쌓은 모양과 쌓기나무의 개수 구하기
1442,거듭제곱
1443,밑
1444,지수
1449,층별로 나타낸 모양을 보고 쌓은 모양과 쌓기나무의 개수 구하기
1450,여러 가지 모양 만들기
1452,곱셈과 나눗셈을 이용한 비의 성질
1453,소수(소수:소수)의 비를 간단한 자연수의 비로 나타내기
1454,분수(분수:분수)의 비를 간단한 자연수의 비로 나타내기
1455,소수와 분수(소수:분수)의 비를 간단한 자연수의 비로 나타내기
1456,비례식과 비례식의 외항과 내항
1463,비례배분
1464,비례배분 문제 해결하기
1494,원주와 지름의 관계
1531,원주율
1532,지름을 알 때 원주율을 이용하여 원주 구하기
1533,원주를 알 때 원주율을 이용하여 지름 구하기
1534,원의 넓이 어림하기
1535,정적분의 성질
1536,우함수와 기함수의 정적분 계산
1537,정적분으로 정의된 함수
1538,정적분으로 정의된 함수의 미분
1539,정적분을 포함한 등식에서 함수 구하기
1540,정적분으로 정의된 함수의 극한
1541,정적분의 기하학적 의미
1542,곡선과 x축 사이의 넓이
1543,곡선과 y축 사이의 넓이
1544,두 곡선 사이의 넓이
1546,주기함수의 정적분
1548,"원을 분할하여 모양이 다른 도형으로 바꾸기, 원의 넓이 구하는 방법"
1574,반지름과 원의 넓이의 관계
1575,원기둥
1576,원기둥의 구성 요소
1577,원기둥의 전개도
1578,"원기둥의 전개도의 특징, 각 부분의 길이"
1579,밑면의 둘레 구하는 방법
1580,원뿔
1581,원뿔의 구성 요소
1582,구
1583,구의 구성 요소
1638,직선 위의 운동에서 위치와 위치의 변화량
1707,"원의 중심, 반지름, 지름"
1720,원의 성질
1721,컴퍼스를 이용하여 원 그리기
1722,원을 이용하여 여러 모양을 그리기
1726,분수로 나타내기
1727,자연수에 대한 분수만큼은 얼마인지 알아보기
